name,value
百度,0.0214090821606
搜索,0.0156350832701
网站,0.00887610809832
哔哩,0.00841192387379
游戏,0.00748355542473
平板,0.0067363320389
知道,0.00652122227631
一下,0.00510602646982
bilibili,0.0049701676724
d3,0.00484563044143
下载,0.00473241477691
电脑,0.00458523441303
js,0.00456259128013
提供,0.00447201874851
动漫,0.00399651295753
直播,0.00392858355882
图片,0.00378140319495
排名,0.00377008162849
小米,0.00373611692914
京东,0.00366818753043
GAMEZ,0.00314739547364
中,0.00307946607493
号,0.00302285824267
数据,0.0029436072775
最,0.00288699944524
视频,0.00287567787879
杀戮,0.00264924654975
都市,0.0026152818504
弹幕,0.00260396028394
在线,0.00255867401814
英寸,0.00254735245169
音乐,0.00244545835362
ACG,0.00240017208781
图,0.00228695642329
云,0.00225299172393
新番,0.00211713292651
人,0.0020265603949
服务,0.0020265603949
信息,0.00199259569554
使用,0.00195863099618
报价,0.00195863099618
网络,0.00192466629683
Google,0.00191334473038
系统,0.00181145063231
文件,0.00177748593295
站,0.00175484280005
最新,0.00173219966715
网盘,0.00173219966715
手机,0.00172087810069
魔方,0.00168691340134
分享,0.00166427026843
种子,0.00164162713553
二合一,0.00163030556908
B,0.00161898400263
jquery,0.00161898400263
支持,0.00160766243617
智能,0.00157369773682
酷比,0.00157369773682
插件,0.00153973303746
邮箱,0.00152841147101
昂达,0.00152841147101
年,0.00151708990456
动画,0.00150576833811
正品,0.0014378389394
价格,0.0014378389394
免费,0.0014378389394
国内,0.00142651737294
QQ,0.00141519580649
英雄,0.00139255267359
筛选,0.00136990954068
Pro,0.00136990954068
代码,0.00135858797423
学习,0.00132462327488
购买,0.00132462327488
字幕,0.00131330170842
Air,0.00131330170842
版,0.00130198014197
参数,0.00130198014197
ocks,0.00130198014197
贴,0.00130198014197
作品,0.00129065857552
D3,0.00129065857552
bl,0.00127933700907
高清,0.00127933700907
享受,0.00126801544262
鬼畜,0.00126801544262
联想,0.00125669387616
2017,0.00124537230971
行货,0.00123405074326
找到,0.00122272917681
及时,0.00121140761036
域名,0.00120008604391
解说,0.00120008604391
